id,en_wiki_link,title,author
mona_lisa,https://en.wikipedia.org/wiki/Mona_Lisa,Mona Lisa,Leonardo da Vinci
horatii,https://en.wikipedia.org/wiki/Oath_of_the_Horatii,Oath of the Horatii,Jacques-Louis David
medusa,https://en.wikipedia.org/wiki/The_Raft_of_the_Medusa,The Raft of the Medusa,Théodore Géricault
praxedis,https://en.wikipedia.org/wiki/Saint_Praxedis_(painting),Saint Praxedis,Johannes Vermeer
krieg,https://en.wikipedia.org/wiki/War_(B%C3%B6cklin_painting),Der Krieg,Arnold Böcklin
annunciate,"https://en.wikipedia.org/wiki/Virgin_Annunciate_(Antonello_da_Messina,_Palermo)",Virgin Annunciate,Antonello da Messina
emmaus,"https://en.wikipedia.org/wiki/Supper_at_Emmaus_(Caravaggio,_London)",Supper at Emmaus,Caravaggio
garden,"https://en.wikipedia.org/wiki/Garden_at_Sainte-Adresse",Garden at Sainte-Adresse,Claude Monet
writing,"https://en.wikipedia.org/wiki/Lady_Writing_a_Letter_with_her_Maid",Lady Writing a Letter with her Maid,Johannes Vermeer
general,"https://en.wikipedia.org/wiki/Portrait_of_a_General",Portrait of a General,Titian
arles,"https://en.wikipedia.org/wiki/Bedroom_in_Arles",Bedroom in Arles (third version),Vincent van Gogh
torment,"https://en.wikipedia.org/wiki/The_Torment_of_Saint_Anthony",The Torment of Saint Anthony,Michelangelo
